word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,key_instruct.started,instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,fixation.started,fixationCross.started,fixation.stopped,trial.started,Stimulus.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0028488999232649803,0.01101699995342642,2.873693099943921,space,2.8448828000109643,None,,,,,,,,,,,,,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,green,0,g,0,0,0,6,2.9081577999750152,,,,,,,,2.9024229999631643,2.9081577999750152,4.0805565000046045,4.080614299979061,4.096422199974768,4.57997369999066,5.382991399965249,g,1,0.7870236000744626,None,,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,blue,0,b,0,1,1,8,5.396572500001639,,,,,,,,5.38452540000435,5.396572500001639,6.581829599919729,6.581869399989955,6.596161599969491,7.09620259993244,7.398806600016542,b,1,0.29784650006331503,None,6.596161599969491,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,yellow,0,y,0,2,2,11,7.4127796000102535,,,,,,,,7.3999609999591485,7.4127796000102535,8.598443599999882,8.59848319995217,8.612348799942993,9.112932999967597,9.732496100012213,y,1,0.6162591999163851,None,8.612348799942993,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,red,1,r,0,3,3,0,9.745742299943231,,,,,,,,9.733824900002219,9.745742299943231,10.930498600006104,10.930532699916512,10.945645699976012,11.445788600016385,11.599053399986587,r,1,0.13575339992530644,None,10.945645699976012,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
yellow,green,0,g,0,4,4,9,11.612257499946281,,,,,,,,11.600207599927671,11.612257499946281,12.797076800023206,12.797111799940467,12.811870099976659,13.312168199918233,13.66555499995593,g,1,0.3504258000757545,None,12.811870099976659,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,yellow,0,y,0,5,5,14,13.678728999919258,,,,,,,,13.66682609997224,13.678728999919258,14.863609199994244,14.863635599962436,14.878352099913172,15.378372099949047,15.746582199935801,y,1,0.35556300007738173,None,14.878352099913172,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
blue,blue,1,b,0,6,6,2,15.762002700008452,,,,,,,,15.747608999954537,15.762002700008452,16.946301399962977,16.946337200002745,16.96149829996284,17.461287099984474,17.66329009993933,b,1,0.1917995000258088,None,16.96149829996284,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
green,red,0,r,0,7,7,7,17.678418700001203,,,,,,,,17.664175599929877,17.678418700001203,18.863191099953838,18.863232199917547,18.87805419997312,19.378005699953064,20.02988970000297,r,1,0.6410639999667183,None,18.87805419997312,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
red,green,0,g,0,8,8,12,20.04463839996606,,,,,,,,20.031075299950317,20.04463839996606,21.229709399980493,21.229735299944878,21.244301099912263,21.74455109995324,22.045825799927115,g,1,0.29565139999613166,None,21.244301099912263,974760,001,2024-10-03_10h02.33.197,stroop-task-experiment,2023.2.1,59.98444007139262,2024-10-03 10h02.37.779964 -0400,
